key;variant;instruction;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv
character.pickerTitle;;Animal name, a single word. English is 21 characters. Try to stay close to that.;Choose your character;Kies je poppetje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common.back;;Small button or label. Keep it very short. English is 4 characters. Try to stay close to that.;Back;Terug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common.cancel;;Small button or label. Keep it very short. English is 6 characters. Try to stay close to that.;Cancel;Annuleer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common.continue;;Small button or label. Keep it very short. English is 8 characters. Try to stay close to that.;Continue;Verder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common.done;;Small button or label. Keep it very short. English is 4 characters. Try to stay close to that.;Done;Klaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common.minutesShort %lld %lld;;"Small button or label. Keep it very short. Keep the placeholders exactly (%lld); the app fills them with numbers/text at runtime. You may reorder them to fit natural word order. English is 13 characters. Try to stay close to that.";%lld/%lld min;%lld/%lld min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common.save;;Small button or label. Keep it very short. English is 4 characters. Try to stay close to that.;Save;Bewaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
developerMode.accessibilityHint;;VoiceOver label (not shown on screen). Favour clarity over brevity. English is 52 characters. Try to stay close to that.;Press and hold for 2 seconds to open developer mode.;Houd 2 seconden ingedrukt voor ontwikkelaarsmodus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
developerMode.title;;Heading. Short and punchy. English is 14 characters. Try to stay close to that.;Developer mode;Ontwikkelaarsmodus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter.addition;;In-app text. English is 8 characters. Try to stay close to that.;Addition;Optellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter.fractions;;In-app text. English is 9 characters. Try to stay close to that.;Fractions;Breuken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter.mixed;;In-app text. English is 8 characters. Try to stay close to that.;Supermix;Supermix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter.percentages;;In-app text. English is 11 characters. Try to stay close to that.;Percentages;Procenten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter.subtraction;;In-app text. English is 11 characters. Try to stay close to that.;Subtraction;Aftrekken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
filter.tables;;In-app text. English is 6 characters. Try to stay close to that.;Tables;Tafels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.accessibility.mix;;VoiceOver label (not shown on screen). Favour clarity over brevity. English is 3 characters. Try to stay close to that.;Mix;Mix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.accessibility.scoreOutOf %lld %lld;;"VoiceOver label (not shown on screen). Favour clarity over brevity. Keep the placeholders exactly (%lld); the app fills them with numbers/text at runtime. You may reorder them to fit natural word order. English is 16 characters. Try to stay close to that.";%lld out of %lld;%lld van %lld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.0;;In-app text. English is 8 characters. Try to stay close to that.;Good try;Goed geprobeerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.1;;In-app text. English is 12 characters. Try to stay close to that.;It's a start;Het begin is er;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.2;;In-app text. English is 15 characters. Try to stay close to that.;Keep practicing;Blijf oefenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.3;;In-app text. English is 14 characters. Try to stay close to that.;Not bad at all;Lang niet slecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.4;;In-app text. English is 10 characters. Try to stay close to that.;Doing well;Goed bezig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.5;;In-app text. English is 16 characters. Try to stay close to that.;Nice performance;Mooie prestatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.6;;In-app text. English is 9 characters. Try to stay close to that.;Well done;Knap gedaan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.7;;In-app text. English is 16 characters. Try to stay close to that.;Very well played;Heel goed gespeeld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.8;;In-app text. English is 22 characters. Try to stay close to that.;The finish is in sight;Het einde is in zicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.encouragement.9;;In-app text. English is 19 characters. Try to stay close to that.;You're almost there;Je bent er bijna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.end.completionSubtitle;;In-app text. English is 23 characters. Try to stay close to that.;You earned every point.;Je hebt alle punten gehaald.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.end.completionSuffix;;In-app text. English is 9 characters. Try to stay close to that.;complete!;afgerond!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.end.gameOverTitle;;In-app text. English is 9 characters. Try to stay close to that.;Game over;Game over;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.end.mainMenu;;In-app text. English is 9 characters. Try to stay close to that.;Main menu;Hoofdmenu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.end.playAgain;;In-app text. English is 10 characters. Try to stay close to that.;Play again;Nog een keer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.highScore;;In-app text. English is 10 characters. Try to stay close to that.;High score;Topscore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.backToMainMenu;;Short bullet on the pre-game card. Keep it concise. English is 17 characters. Try to stay close to that.;Back to main menu;Terug naar hoofdmenu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.continue;;Short bullet on the pre-game card. Keep it concise. English is 8 characters. Try to stay close to that.;Continue;Speel verder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.continueFrom %lld;;"Short bullet on the pre-game card. Keep it concise. Keep the placeholders exactly (%lld); the app fills them with numbers/text at runtime. You may reorder them to fit natural word order. English is 25 characters. Try to stay close to that.";You’ll continue from %lld;Je gaat verder bij %lld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.helperBullet;;Short bullet on the pre-game card. Keep it concise. English is 118 characters. Try to stay close to that.;The correct answer is highlighted in green because the helper is on. Trophies are therefore counted separately with *.;Het goede antwoord is groen gemarkeerd omdat de helper aanstaat. Trofeeën worden daarom apart geteld met *.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.helperOff;;Short bullet on the pre-game card. Keep it concise. English is 10 characters. Try to stay close to that.;Helper off;Helper uit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.helperOn;;Short bullet on the pre-game card. Keep it concise. English is 9 characters. Try to stay close to that.;Helper on;Helper aan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.howItWorks;;Short bullet on the pre-game card. Keep it concise. English is 20 characters. Try to stay close to that.;How this level works;Zo werkt dit level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.livesOff;;Short bullet on the pre-game card. Keep it concise. English is 9 characters. Try to stay close to that.;Lives off;Levens uit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.livesOn;;Short bullet on the pre-game card. Keep it concise. English is 8 characters. Try to stay close to that.;Lives on;Levens aan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.scorePaused;;Short bullet on the pre-game card. Keep it concise. English is 34 characters. Try to stay close to that.;Your current score will be paused.;Je huidige score wordt gepauzeerd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.start;;Short bullet on the pre-game card. Keep it concise. English is 11 characters. Try to stay close to that.;Start level;Start level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.tablesDetail %@ %@;;"Short bullet on the pre-game card. Keep it concise. Keep the placeholders exactly (%@); the app fills them with numbers/text at runtime. You may reorder them to fit natural word order. English is 39 characters. Try to stay close to that.";Multiply %@%@ by a number from 1 to 12.;Vermenigvuldig %@%@ met een getal van 1 t/m 12.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.tablesOrLower;;Short bullet on the pre-game card. Keep it concise. English is 9 characters. Try to stay close to that.; or lower; of lager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.tapToContinue;;Short bullet on the pre-game card. Keep it concise. English is 24 characters. Try to stay close to that.;Tap anywhere to continue;Tik ergens om verder te spelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.tapToStart;;Short bullet on the pre-game card. Keep it concise. English is 21 characters. Try to stay close to that.;Tap anywhere to start;Tik ergens om te starten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.trophyBullet %lld;;"Short bullet on the pre-game card. Keep it concise. Keep the placeholders exactly (%lld); the app fills them with numbers/text at runtime. You may reorder them to fit natural word order. |pipes| mark bold text (2 pair(s) here). Wrap the matching word(s) in your language in |pipes|, do not translate the pipes away. English is 62 characters. Try to stay close to that.";Earn |1| trophy per correct answer, up to a maximum of |%lld|.;Verdien |1| trofee per goed antwoord, met een maximum van |%lld|.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.intro.unlimitedBullet;;Short bullet on the pre-game card. Keep it concise. English is 57 characters. Try to stay close to that.;Once your lives are gone you can no longer earn trophies.;Nadat je levens op zijn, kun je geen trofeeën meer verdienen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.status.leaderboardMaxed;;In-app text. English is 44 characters. Try to stay close to that.;Maximum trophies for the leaderboard reached;Maximaal aantal trofeeën voor scorebord behaald;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.status.mixMode;;In-app text. English is 8 characters. Try to stay close to that.;MIX MODE;MIX-MODUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.status.scoreLocked;;In-app text. English is 49 characters. Try to stay close to that.;Trophies no longer count once your lives are gone;Trofeeën tellen niet meer mee nadat je levens op zijn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.streak.subtitle;;Subheading. One short sentence. English is 11 characters. Try to stay close to that.;Trophies ×2;Trofeeën ×2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game.streak.title;;Heading. Short and punchy. English is 11 characters. Try to stay close to that.;5 in a row!;5 op een rij!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goal.period;;Settings text. Keep it compact. English is 11 characters. Try to stay close to that.;Goal period;Doelperiode;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goal.promptDaily;;Settings text. Keep it compact. English is 45 characters. Try to stay close to that.;How many minutes do you want to play per day?;Hoeveel minuten wil je per dag spelen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goal.promptWeekly;;Settings text. Keep it compact. English is 46 characters. Try to stay close to that.;How many minutes do you want to play per week?;Hoeveel minuten wil je per week spelen?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goal.title;;Heading. Short and punchy. English is 9 characters. Try to stay close to that.;Play goal;Speeldoel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goalPeriod.daily;;In-app text. English is 5 characters. Try to stay close to that.;Daily;Dagelijks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goalPeriod.weekly;;In-app text. English is 6 characters. Try to stay close to that.;Weekly;Wekelijks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.addition;;In-app text. English is 13 characters. Try to stay close to that.;Addition only;Alleen optellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.fractions;;In-app text. English is 13 characters. Try to stay close to that.;Division only;Alleen delen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.header;;In-app text. English is 17 characters. Try to stay close to that.;Types of problems;Soorten sommen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.mixed;;In-app text. English is 16 characters. Try to stay close to that.;Mixed operations;Gemengde sommen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.percentages;;In-app text. English is 16 characters. Try to stay close to that.;Percentages only;Alleen percentages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.subtraction;;In-app text. English is 16 characters. Try to stay close to that.;Subtraction only;Alleen aftrekken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.filter.tables;;In-app text. English is 19 characters. Try to stay close to that.;Multiplication only;Alleen vermenigvuldigen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.fractions.header;;In-app text. English is 5 characters. Try to stay close to that.;Parts;Delen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.fractions.multiple;;In-app text. English is 25 characters. Try to stay close to that.;Single and multiple parts;Enkele en meerdere delen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.fractions.single;;In-app text. English is 20 characters. Try to stay close to that.;Always a single part;Altijd een enkel deel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.header;;In-app text. English is 5 characters. Try to stay close to that.;Order;Volgorde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.mixed;;In-app text. English is 23 characters. Try to stay close to that.;Mixed with lower levels;Gemengd met lagere niveaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.order;;In-app text. English is 11 characters. Try to stay close to that.;Fixed order;Vaste volgorde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.percentages.decimal;;In-app text. English is 25 characters. Try to stay close to that.;Including decimal numbers;Ook getallen achter de komma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.percentages.header;;In-app text. English is 4 characters. Try to stay close to that.;Type;Soort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.percentages.whole;;In-app text. English is 23 characters. Try to stay close to that.;Without decimal numbers;Zonder getallen achter de komma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.mode.random;;In-app text. English is 12 characters. Try to stay close to that.;Random order;Willekeurige volgorde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.super.all;;In-app text. English is 64 characters. Try to stay close to that.;Addition, subtraction, multiplication, division, and percentages;Optellen, aftrekken, vermenigvuldigen, delen en percentages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.super.basic;;In-app text. English is 24 characters. Try to stay close to that.;Addition and subtraction;Optellen en aftrekken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.super.fraction;;In-app text. English is 51 characters. Try to stay close to that.;Addition, subtraction, multiplication, and division;Optellen, aftrekken, vermenigvuldigen en delen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
info.super.times;;In-app text. English is 41 characters. Try to stay close to that.;Addition, subtraction, and multiplication;Optellen, aftrekken en vermenigvuldigen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
language.select;;In-app text. English is 15 characters. Try to stay close to that.;Choose language;Kies taal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lives.three;;In-app text. English is 7 characters. Try to stay close to that.;3 lives;3 levens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lives.unlimited;;In-app text. English is 9 characters. Try to stay close to that.;Unlimited;Oneindig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
menu.accessibility.character;;VoiceOver label (not shown on screen). Favour clarity over brevity. English is 9 characters. Try to stay close to that.;Character;Personage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
menu.accessibility.characterHint;;VoiceOver label (not shown on screen). Favour clarity over brevity. English is 97 characters. Try to stay close to that.;"Tap to change your character; press and hold for two seconds to start over at the welcome screen.";"Tik om je personage te wijzigen; houd twee seconden ingedrukt om opnieuw te beginnen bij het welkomscherm";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
menu.accessibility.chooseMode %@;;"VoiceOver label (not shown on screen). Favour clarity over brevity. Keep the placeholders exactly (%@); the app fills them with numbers/text at runtime. You may reorder them to fit natural word order. English is 9 characters. Try to stay close to that.";Choose %@;Kies %@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
menu.maxScore;;Menu item. Keep it short. English is 6 characters. Try to stay close to that.;30 MAX;30 MAX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
menu.maximumCount;;Menu item. Keep it short. English is 3 characters. Try to stay close to that.;MAX;MAX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
