key;variant;instruction;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv
info.filter.subtraction;;In-app text. English is 16 characters. Try to stay close to that.;Subtraction only;Alleen aftrekken;Net aftrek;Vetëm zbritje;መቀነስ ብቻ;الطرح فقط;Միայն հանում;কেৱল বিয়োগ;Yalnız çıxma;Kenketak bakarrik;শুধু বিয়োগ;နုတ်ခြင်းသာ;Samo oduzimanje;Само изваждане;Només restes;只练减法;Kun subtraktion;Nur Subtraktion;Ainult lahutamine;Bara frádráttur;Vain vähennyslasku;Soustractions seulement;Só restas;მხოლოდ გამოკლება;Μόνο αφαίρεση;ફક્ત બાદબાકી;חיסור בלבד;केवल घटाव;Csak kivonás;Dealú amháin;Aðeins frádráttur;Hanya pengurangan;Solo sottrazioni;ひき算だけ;ಕಳೆಯುವಿಕೆ ಮಾತ್ರ;Тек азайту;តែការដក;뺄셈만;Samo oduzimanje;ລົບເທົ່ານັ້ນ;Tikai atņemšana;Tik atimtis;Само одземање;Tolak sahaja;കുറയ്ക്കൽ മാത്രം;फक्त वजाबाकी;Зөвхөн хасах;घटाउ मात्र;Bare subtraksjon;Лише віднімання;କେବଳ ବିୟୋଗ;پەقەت ئېلىش;Faqat ayirish;فقط تفریق;Tylko odejmowanie;Só subtração;ਸਿਰਫ਼ ਘਟਾਓ;Doar scăderi;Только вычитание;Samo oduzimanje;අඩු කිරීම පමණයි;Len odčítanie;Samo odštevanje;Solo restas;Kutoa tu;අඩු කිරීම පමණයි;கழித்தல் மட்டும்;เฉพาะการลบ;འཐེན་རྩིས་ཁོ་ན;Jen odčítání;Yalnızca çıkarma;صرف تفریق;Chỉ phép trừ;Tynnu yn unig;Толькі адніманне;Ukususa kuphela;Bara subtraktion
info.filter.tables;;In-app text. English is 19 characters. Try to stay close to that.;Multiplication only;Alleen vermenigvuldigen;Net vermenigvuldig;Vetëm shumëzim;ማባዛት ብቻ;الضرب فقط;Միայն բազմապատկում;কেৱল পূৰণ;Yalnız vurma;Biderketak bakarrik;শুধু গুণ;မြှောက်ခြင်းသာ;Samo množenje;Само умножение;Només multiplicacions;只练乘法;Kun multiplikation;Nur Multiplikation;Ainult korrutamine;Bara falding;Vain kertolasku;Multiplications seulement;Só multiplicacións;მხოლოდ გამრავლება;Μόνο πολλαπλασιασμός;ફક્ત ગુણાકાર;כפל בלבד;केवल गुणा;Csak szorzás;Iolrú amháin;Aðeins margföldun;Hanya perkalian;Solo moltiplicazioni;かけ算だけ;ಗುಣಾಕಾರ ಮಾತ್ರ;Тек көбейту;តែការគុណ;곱셈만;Samo množenje;ຄູນເທົ່ານັ້ນ;Tikai reizināšana;Tik daugyba;Само множење;Darab sahaja;ഗുണനം മാത്രം;फक्त गुणाकार;Зөвхөн үржүүлэх;गुणन मात्र;Bare multiplikasjon;Лише множення;କେବଳ ଗୁଣ;پەقەت كۆپەيتىش;Faqat ko‘paytirish;فقط ضرب;Tylko mnożenie;Só multiplicação;ਸਿਰਫ਼ ਗੁਣਾ;Doar înmulțiri;Только умножение;Samo množenje;ගුණ කිරීම පමණයි;Len násobenie;Samo množenje;Solo multiplicaciones;Kuzidisha tu;ගුණ කිරීම පමණයි;பெருக்கல் மட்டும்;เฉพาะการคูณ;སྒྱུར་རྩིས་ཁོ་ན;Jen násobení;Yalnızca çarpma;صرف ضرب;Chỉ phép nhân;Lluosi yn unig;Толькі множанне;Ukuphindaphinda kuphela;Bara multiplikation
info.mode.fractions.header;;In-app text. English is 5 characters. Try to stay close to that.;Parts;Delen;Dele;Pjesë;ክፍሎች;الأجزاء;Մասեր;অংশ;Hissələr;Zatiak;অংশ;အပိုင်းများ;Dijelovi;Части;Parts;份数;Dele;Teile;Osad;Partar;Osat;Parts;Partes;ნაწილები;Μέρη;ભાગો;חלקים;भाग;Részek;Codanna;Hlutar;Bagian;Parti;パーツ;ಭಾಗಗಳು;Бөліктер;ផ្នែក;부분;Dijelovi;ສ່ວນ;Daļas;Dalys;Делови;Bahagian;ഭാഗങ്ങൾ;भाग;Хэсэг;भागहरू;Deler;Частини;ଅଂଶ;بۆلەكلەر;Qismlar;بخش‌ها;Części;Partes;ਹਿੱਸੇ;Părți;Части;Delovi;කොටස්;Časti;Deli;Partes;Sehemu;කොටස්;பகுதிகள்;ส่วน;ཆ་ཤས;Části;Parçalar;حصے;Phần;Rhannau;Часткі;Izingxenye;Delar
info.mode.fractions.multiple;;In-app text. English is 25 characters. Try to stay close to that.;Single and multiple parts;Enkele en meerdere delen;Een en meer dele;Një ose disa pjesë;አንድ እና ብዙ ክፍሎች;جزء واحد أو عدة أجزاء;Մեկ և մի քանի մաս;এটা আৰু একাধিক অংশ;Bir və bir neçə hissə;Zati bat eta hainbat zati;একটি ও একাধিক অংশ;တစ်ပိုင်းနှင့် အပိုင်းများ;Jedan ili više dijelova;Една или няколко части;Una o diverses parts;一份或多份;En eller flere dele;Ein oder mehrere Teile;Üks või mitu osa;Ein og fleiri partar;Yksi tai monta osaa;Une ou plusieurs parts;Unha ou varias partes;ერთი და რამდენიმე ნაწილი;Ένα ή περισσότερα μέρη;એક અને ઘણા ભાગો;חלק אחד או כמה חלקים;एक या कई भाग;Egy vagy több rész;Cuid amháin nó níos mó;Einn og fleiri hlutar;Satu atau beberapa bagian;Una o più parti;1つまたはいくつかのパーツ;ಒಂದು ಮತ್ತು ಹಲವು ಭಾಗಗಳು;Бір және бірнеше бөлік;មួយផ្នែក និងច្រើនផ្នែក;한 부분과 여러 부분;Jedan ili više dijelova;ໜຶ່ງສ່ວນ ແລະ ຫຼາຍສ່ວນ;Viena un vairākas daļas;Viena ir kelios dalys;Еден и повеќе делови;Satu atau banyak bahagian;ഒന്നോ പലതോ ഭാഗങ്ങൾ;एक किंवा अनेक भाग;Нэг болон олон хэсэг;एक वा धेरै भाग;Én eller flere deler;Одна або кілька частин;ଗୋଟିଏ ଓ ଅନେକ ଅଂଶ;بىر ۋە كۆپ بۆلەك;Bitta va bir nechta qism;یک یا چند بخش;Jedna lub kilka części;Uma ou várias partes;ਇੱਕ ਜਾਂ ਕਈ ਹਿੱਸੇ;Una sau mai multe părți;Одна или несколько частей;Jedan ili više delova;එකක් සහ කොටස් කිහිපයක්;Jedna aj viac častí;En ali več delov;Una o varias partes;Sehemu moja au nyingi;එකක් සහ කොටස් කිහිපයක්;ஒன்று அல்லது பல பகுதிகள்;หนึ่งส่วนและหลายส่วน;ཆ་ཤས་གཅིག་དང་མང་པོ;Jedna i více částí;Tek ve birden çok parça;ایک اور کئی حصے;Một hoặc nhiều phần;Un rhan neu sawl rhan;Адна і некалькі частак;Ingxenye eyodwa neziningi;En eller flera delar
info.mode.fractions.single;;In-app text. English is 20 characters. Try to stay close to that.;Always a single part;Altijd een enkel deel;Altyd een deel;Gjithmonë një pjesë;ሁልጊዜ አንድ ክፍል;جزء واحد دائمًا;Միշտ մեկ մաս;সদায় এটা অংশ;Həmişə bir hissə;Beti zati bakarra;সব সময় একটি অংশ;အမြဲ တစ်ပိုင်းသာ;Uvijek jedan dio;Винаги една част;Sempre una sola part;总是一份;Altid én del;Immer nur ein Teil;Alati üks osa;Altíð ein partur;Aina yksi osa;Toujours une seule part;Sempre unha soa parte;ყოველთვის ერთი ნაწილი;Πάντα ένα μέρος;હંમેશા એક ભાગ;תמיד חלק אחד;हमेशा एक भाग;Mindig egy rész;Cuid amháin i gcónaí;Alltaf einn hluti;Selalu satu bagian;Sempre una sola parte;いつも1つのパーツ;ಯಾವಾಗಲೂ ಒಂದು ಭಾಗ;Әрқашан бір бөлік;តែមួយផ្នែកជានិច្ច;항상 한 부분;Uvijek jedan dio;ໜຶ່ງສ່ວນສະເໝີ;Vienmēr viena daļa;Visada viena dalis;Секогаш еден дел;Sentiasa satu bahagian;എപ്പോഴും ഒരു ഭാഗം;नेहमी एकच भाग;Үргэлж нэг хэсэг;सधैं एक भाग;Alltid én del;Завжди одна частина;ସବୁବେଳେ ଗୋଟିଏ ଅଂଶ;ھەمىشە بىر بۆلەك;Har doim bitta qism;همیشه یک بخش;Zawsze jedna część;Sempre uma parte;ਹਮੇਸ਼ਾ ਇੱਕ ਹਿੱਸਾ;Mereu o singură parte;Всегда одна часть;Uvek jedan deo;හැමවිටම එක කොටසක්;Vždy jedna časť;Vedno en del;Siempre una sola parte;Daima sehemu moja;හැමවිටම එක කොටසක්;எப்போதும் ஒரு பகுதி;หนึ่งส่วนเสมอ;རྟག་ཏུ་ཆ་ཤས་གཅིག;Vždy jedna část;Her zaman tek parça;ہمیشہ ایک حصہ;Luôn chỉ một phần;Un rhan bob tro;Заўсёды адна частка;Njalo ingxenye eyodwa;Alltid en del
info.mode.header;;In-app text. English is 5 characters. Try to stay close to that.;Order;Volgorde;Volgorde;Rendi;ቅደም ተከተል;الترتيب;Հերթականություն;ক্ৰম;Ardıcıllıq;Ordena;ক্রম;အစဉ်;Redoslijed;Ред;Ordre;顺序;Rækkefølge;Reihenfolge;Järjekord;Raðfylgja;Järjestys;Ordre;Orde;თანმიმდევრობა;Σειρά;ક્રમ;סדר;क्रम;Sorrend;Ord;Röð;Urutan;Ordine;順番;ಕ್ರಮ;Реті;លំដាប់;순서;Redoslijed;ລຳດັບ;Secība;Tvarka;Редослед;Urutan;ക്രമം;क्रम;Дараалал;क्रम;Rekkefølge;Порядок;କ୍ରମ;تەرتىپ;Tartib;ترتیب;Kolejność;Ordem;ਕ੍ਰਮ;Ordine;Порядок;Redosled;පිළිවෙළ;Poradie;Vrstni red;Orden;Mpangilio;පිළිවෙළ;வரிசை;ลำดับ;གོ་རིམ;Pořadí;Sıra;ترتیب;Thứ tự;Trefn;Парадак;Ukuhleleka;Ordning
info.mode.mixed;;In-app text. English is 23 characters. Try to stay close to that.;Mixed with lower levels;Gemengd met lagere niveaus;Gemeng met laer vlakke;Përzier me nivele më të ulëta;ከዝቅተኛ ደረጃዎች ጋር ድብልቅ;مختلط مع المستويات السابقة;Խառը՝ ավելի ցածր մակարդակների հետ;আগৰ লেভেলৰ সৈতে মিশ্ৰ;Aşağı səviyyələrlə qarışıq;Beheko mailekin nahasita;নিচের লেভেলসহ মিশ্র;အောက်အဆင့်များနှင့် ရောစပ်;Pomiješano s nižim nivoima;Смесено с по-ниски нива;Barrejat amb nivells anteriors;混合较低关卡;Blandet med lavere baner;Mit niedrigeren Levels gemischt;Koos varasemate tasemetega;Blandað við lægri stigum;Mukana alempia tasoja;Mélangé avec les niveaux précédents;Mesturado con niveis anteriores;შერეული ქვედა დონეებთან;Μίξη με προηγούμενα επίπεδα;નીચલા લેવલ સાથે મિશ્ર;מעורבב עם שלבים קודמים;पिछले स्तरों के साथ मिक्स;Alsóbb szintekkel vegyesen;Measctha le leibhéil níos ísle;Blandað við lægri borð;Dicampur dengan level sebelumnya;Misto con livelli precedenti;前のレベルもまぜる;ಕೆಳ ಹಂತಗಳೊಂದಿಗೆ ಮಿಶ್ರ;Төменгі деңгейлермен аралас;លាយជាមួយកម្រិតមុនៗ;낮은 레벨과 섞기;Miješano s nižim razinama;ປະສົມກັບດ່ານທີ່ຕ່ຳກວ່າ;Kopā ar zemākiem līmeņiem;Kartu su žemesniais lygiais;Измешано со пониски нивоа;Campur dengan tahap lebih rendah;താഴത്തെ ലെവലുകളുമായി കലർത്തിയത്;खालच्या स्तरांसोबत मिश्र;Доод түвшинтэй холих;तल्ला लेभलसँग मिसिएको;Blandet med lavere nivåer;Разом із нижчими рівнями;ତଳ ଲେଭେଲ୍ ସହ ମିଶ୍ରିତ;تۆۋەن دەرىجىلەر بىلەن ئارىلاش;Quyi bosqichlar bilan aralash;ترکیب با مرحله‌های پایین‌تر;Razem z niższymi poziomami;Misturado com níveis anteriores;ਹੇਠਲੇ ਲੈਵਲਾਂ ਨਾਲ ਮਿਲੇ-ਜੁਲੇ;Amestecat cu niveluri mai ușoare;Вместе с прошлыми уровнями;Pomešano s nižim nivoima;පහළ මට්ටම් සමඟ මිශ්‍ර;Zmiešané s nižšími úrovňami;Mešano z lažjimi stopnjami;Mezclado con niveles anteriores;Imechanganywa na viwango vya chini;පහළ මට්ටම් සමඟ මිශ්‍ර;கீழ்நிலைகளுடன் கலவை;ผสมกับด่านก่อนหน้า;རིམ་པ་དམའ་བ་དང་འདྲེས་པ;Smíšené s nižšími úrovněmi;Önceki seviyelerle karışık;پچھلے لیولز کے ساتھ مکس;Trộn với các cấp thấp hơn;Cymysg â lefelau is;Разам з лягчэйшымі ўзроўнямі;Kuxutshwe namaleveli aphansi;Blandat med lägre nivåer
info.mode.order;;In-app text. English is 11 characters. Try to stay close to that.;Fixed order;Vaste volgorde;Vaste volgorde;Rend fiks;ቋሚ ቅደም ተከተል;ترتيب ثابت;Հաստատուն հերթականություն;নিৰ্দিষ্ট ক্ৰম;Sabit ardıcıllıq;Ordena finkoa;নির্দিষ্ট ক্রম;သတ်မှတ်အစဉ်;Fiksni redoslijed;Фиксиран ред;Ordre fix;固定顺序;Fast rækkefølge;Feste Reihenfolge;Kindel järjekord;Føst raðfylgja;Kiinteä järjestys;Ordre fixe;Orde fixa;ფიქსირებული რიგი;Σταθερή σειρά;નક્કી ક્રમ;סדר קבוע;तय क्रम;Rögzített sorrend;Ord socraithe;Föst röð;Urutan tetap;Ordine fisso;決まった順番;ನಿಗದಿತ ಕ್ರಮ;Тұрақты рет;លំដាប់ថេរ;정해진 순서;Fiksni redoslijed;ລຳດັບຄົງທີ່;Noteikta secība;Fiksuota tvarka;Фиксен редослед;Urutan tetap;നിശ്ചിത ക്രമം;ठरलेला क्रम;Тогтсон дараалал;निश्चित क्रम;Fast rekkefølge;Фіксований порядок;ନିର୍ଦ୍ଧାରିତ କ୍ରମ;مۇقىم تەرتىپ;O‘zgarmas tartib;ترتیب ثابت;Stała kolejność;Ordem fixa;ਪੱਕਾ ਕ੍ਰਮ;Ordine fixă;По порядку;Fiksni redosled;නියමිත පිළිවෙළ;Pevné poradie;Določen vrstni red;Orden fijo;Mpangilio maalum;නියමිත පිළිවෙළ;நிலையான வரிசை;ลำดับตายตัว;གོ་རིམ་གཏན་འཁེལ;Pevné pořadí;Sabit sıra;مقررہ ترتیب;Thứ tự cố định;Trefn benodol;Па парадку;Ukuhleleka okuqinile;Fast ordning
info.mode.percentages.decimal;;In-app text. English is 25 characters. Try to stay close to that.;Including decimal numbers;Ook getallen achter de komma;Met desimale getalle;Me numra dhjetorë;የአስርዮሽ ቁጥሮችን ጨምሮ;يشمل الأعداد العشرية;Նաև տասնորդական թվերով;দশমিক সংখ্যাসহ;Onluq ədədlərlə;Zenbaki hamartarrak barne;দশমিক সংখ্যাসহ;ဒသမကိန်းများ ပါဝင်;S decimalnim brojevima;С десетични числа;Amb nombres decimals;包含小数;Med decimaltal;Mit Dezimalzahlen;Koos kümnendarvudega;Við desimaltølum;Myös desimaaliluvut;Avec des nombres décimaux;Con números decimais;ათწილადებით;Με δεκαδικούς αριθμούς;દશાંશ સંખ્યાઓ સાથે;כולל מספרים עשרוניים;दशमलव संख्याओं सहित;Tizedes számokkal;Le huimhreacha deachúlacha;Með tugabrotum;Termasuk bilangan desimal;Con numeri decimali;小数あり;ದಶಮಾಂಶಗಳೊಂದಿಗೆ;Ондық сандармен;រួមទាំងលេខទសភាគ;소수 포함;Uključujući decimalne brojeve;ລວມຈຳນວນທົດສະນິຍົມ;Ar decimālskaitļiem;Su dešimtainiais skaičiais;Со децимални броеви;Termasuk nombor perpuluhan;ദശാംശ സംഖ്യകളും ഉൾപ്പെടെ;दशांश संख्यांसह;Аравтын бутархайтай;दशमलवसहित;Med desimaltall;З десятковими числами;ଦଶମିକ ସଂଖ୍ୟା ସହ;ئونلۇق سانلار بىلەن;O‘nli sonlar bilan;با عددهای اعشاری;Z liczbami dziesiętnymi;Com números decimais;ਦਸ਼ਮਲਵ ਗਿਣਤੀਆਂ ਸਮੇਤ;Cu numere zecimale;С десятичными числами;Sa decimalnim brojevima;දශම අංක සමඟ;Aj desatinné čísla;Tudi decimalna števila;Con números decimales;Pamoja na nambari za desimali;දශම අංක සමඟ;தசம எண்களுடன்;รวมเลขทศนิยม;གྲངས་ཆུང་ཚུད་པ;Včetně desetinných čísel;Ondalıklı sayılarla;اعشاری اعداد سمیت;Có số thập phân;Gan gynnwys rhifau degol;З дзесятковымі лікамі;Kufaka izinombolo zedesimali;Med decimaltal
info.mode.percentages.header;;In-app text. English is 4 characters. Try to stay close to that.;Type;Soort;Soort;Lloji;ዓይነት;النوع;Տեսակ;ধৰণ;Növ;Mota;ধরন;အမျိုးအစား;Vrsta;Вид;Tipus;类型;Type;Art;Liik;Slag;Tyyppi;Type;Tipo;ტიპი;Τύπος;પ્રકાર;סוג;प्रकार;Típus;Cineál;Tegund;Jenis;Tipo;しゅるい;ವಿಧ;Түрі;ប្រភេទ;종류;Vrsta;ປະເພດ;Veids;Tipas;Вид;Jenis;തരം;प्रकार;Төрөл;प्रकार;Type;Тип;ପ୍ରକାର;تۈر;Tur;نوع;Typ;Tipo;ਕਿਸਮ;Tip;Тип;Vrsta;වර්ගය;Typ;Vrsta;Tipo;Aina;වර්ගය;வகை;ประเภท;རིགས;Typ;Tür;قسم;Loại;Math;Тып;Uhlobo;Typ
info.mode.percentages.whole;;In-app text. English is 23 characters. Try to stay close to that.;Without decimal numbers;Zonder getallen achter de komma;Sonder desimale getalle;Pa numra dhjetorë;ያለ አስርዮሽ ቁጥሮች;من دون أعداد عشرية;Առանց տասնորդական թվերի;দশমিক সংখ্যা নোহোৱাকৈ;Onluq ədədlərsiz;Zenbaki hamartarrik gabe;দশমিক সংখ্যা ছাড়া;ဒသမကိန်း မပါ;Bez decimalnih brojeva;Без десетични числа;Sense nombres decimals;不含小数;Uden decimaltal;Ohne Dezimalzahlen;Ilma kümnendarvudeta;Uttan desimaltøl;Ilman desimaalilukuja;Sans nombres décimaux;Sen números decimais;ათწილადების გარეშე;Χωρίς δεκαδικούς αριθμούς;દશાંશ વિના;בלי מספרים עשרוניים;बिना दशमलव संख्याओं के;Tizedes számok nélkül;Gan uimhreacha deachúlacha;Án tugabrota;Tanpa bilangan desimal;Senza numeri decimali;小数なし;ದಶಮಾಂಶಗಳಿಲ್ಲದೆ;Ондық сандарсыз;គ្មានលេខទសភាគ;소수 없이;Bez decimalnih brojeva;ບໍ່ມີຈຳນວນທົດສະນິຍົມ;Bez decimālskaitļiem;Be dešimtainių skaičių;Без децимални броеви;Tanpa nombor perpuluhan;ദശാംശ സംഖ്യകളില്ലാതെ;दशांश संख्यांशिवाय;Аравтын бутархайгүй;दशमलवबिना;Uten desimaltall;Без десяткових чисел;ଦଶମିକ ସଂଖ୍ୟା ବିନା;ئونلۇق سانسىز;O‘nli sonlarsiz;بدون عددهای اعشاری;Bez liczb dziesiętnych;Sem números decimais;ਦਸ਼ਮਲਵ ਤੋਂ ਬਿਨਾਂ;Fără numere zecimale;Без десятичных чисел;Bez decimalnih brojeva;දශම අංක නැතිව;Bez desatinných čísel;Brez decimalnih števil;Sin números decimales;Bila nambari za desimali;දශම අංක නැතිව;தசம எண்கள் இல்லாமல்;ไม่มีเลขทศนิยม;གྲངས་ཆུང་མེད་པ;Bez desetinných čísel;Ondalıklı sayılar olmadan;اعشاری اعداد کے بغیر;Không có số thập phân;Heb rifau degol;Без дзесятковых лікаў;Ngaphandle kwezinombolo zedesimali;Utan decimaltal
info.mode.random;;In-app text. English is 12 characters. Try to stay close to that.;Random order;Willekeurige volgorde;Lukrake volgorde;Rend i rastësishëm;የዘፈቀደ ቅደም ተከተል;ترتيب عشوائي;Պատահական հերթականություն;যাদৃচ্ছিক ক্ৰম;Təsadüfi ardıcıllıq;Ausazko ordena;এলোমেলো ক্রম;ကျပန်းအစဉ်;Nasumičan redoslijed;Случаен ред;Ordre aleatori;随机顺序;Tilfældig rækkefølge;Zufällige Reihenfolge;Juhuslik järjekord;Tilvildarlig raðfylgja;Satunnainen järjestys;Ordre aléatoire;Orde aleatoria;შემთხვევითი რიგი;Τυχαία σειρά;અવ્યવસ્થિત ક્રમ;סדר אקראי;कोई भी क्रम;Véletlen sorrend;Ord randamach;Handahófsröð;Urutan acak;Ordine casuale;ランダムな順番;ಯಾದೃಚ್ಛಿಕ ಕ್ರಮ;Кездейсоқ рет;លំដាប់ចៃដន្យ;무작위 순서;Nasumični redoslijed;ລຳດັບສຸ່ມ;Nejauša secība;Atsitiktinė tvarka;Случаен редослед;Urutan rawak;ക്രമരഹിതം;यादृच्छिक क्रम;Санамсаргүй дараалал;अनियमित क्रम;Tilfeldig rekkefølge;Випадковий порядок;ଯାଦୃଚ୍ଛିକ କ୍ରମ;ئىختىيارىي تەرتىپ;Tasodifiy tartib;ترتیب تصادفی;Losowa kolejność;Ordem aleatória;ਬੇਤਰਤੀਬ ਕ੍ਰਮ;Ordine aleatorie;Случайный порядок;Nasumičan redosled;අහඹු පිළිවෙළ;Náhodné poradie;Naključni vrstni red;Orden aleatorio;Mpangilio wa nasibu;අහඹු පිළිවෙළ;சீரற்ற வரிசை;ลำดับสุ่ม;གོ་རིམ་གང་བྱུང;Náhodné pořadí;Rastgele sıra;بے ترتیب;Thứ tự ngẫu nhiên;Trefn ar hap;Выпадковы парадак;Ukuhleleka okungahleliwe;Slumpmässig ordning
info.super.all;;In-app text. English is 64 characters. Try to stay close to that.;Addition, subtraction, multiplication, division, and percentages;Optellen, aftrekken, vermenigvuldigen, delen en percentages;Optel, aftrek, vermenigvuldig, deel en persentasies;Mbledhje, zbritje, shumëzim, pjesëtim dhe përqindje;መደመር፣ መቀነስ፣ ማባዛት፣ ማካፈል እና መቶኛ;الجمع والطرح والضرب والقسمة والنسب المئوية;Գումարում, հանում, բազմապատկում, բաժանում և տոկոսներ;যোগ, বিয়োগ, পূৰণ, ভাগ আৰু শতাংশ;Toplama, çıxma, vurma, bölmə və faizlər;Batuketa, kenketa, biderketa, zatiketa eta ehunekoak;যোগ, বিয়োগ, গুণ, ভাগ ও শতকরা;ပေါင်း၊ နုတ်၊ မြှောက်၊ စားနှင့် ရာခိုင်နှုန်း;Sabiranje, oduzimanje, množenje, dijeljenje i postoci;Събиране, изваждане, умножение, деление и проценти;Suma, resta, multiplicació, divisió i percentatges;加法、减法、乘法、除法和百分数;Addition, subtraktion, multiplikation, division og procenter;Addition, Subtraktion, Multiplikation, Division und Prozente;Liitmine, lahutamine, korrutamine, jagamine ja protsendid;Samlegging, frádráttur, falding, býting og prosent;Yhteen-, vähennys-, kerto- ja jakolasku sekä prosentit;Addition, soustraction, multiplication, division et pourcentages;Suma, resta, multiplicación, división e porcentaxes;მიმატება, გამოკლება, გამრავლება, გაყოფა და პროცენტები;Πρόσθεση, αφαίρεση, πολλαπλασιασμός, διαίρεση και ποσοστά;સરવાળો, બાદબાકી, ગુણાકાર, ભાગાકાર અને ટકાવારી;חיבור, חיסור, כפל, חילוק ואחוזים;जोड़, घटाव, गुणा, भाग और प्रतिशत;Összeadás, kivonás, szorzás, osztás és százalékok;Suimiú, dealú, iolrú, roinnt agus céatadáin;Samlagning, frádráttur, margföldun, deiling og prósentur;Penjumlahan, pengurangan, perkalian, pembagian, dan persentase;Addizioni, sottrazioni, moltiplicazioni, divisioni e percentuali;たし算、ひき算、かけ算、わり算、パーセント;ಕೂಡಿಸುವಿಕೆ, ಕಳೆಯುವಿಕೆ, ಗುಣಾಕಾರ, ಭಾಗಾಕಾರ ಮತ್ತು ಶೇಕಡಾವಾರು;Қосу, азайту, көбейту, бөлу және пайыздар;បូក ដក គុណ ចែក និងភាគរយ;덧셈, 뺄셈, 곱셈, 나눗셈, 백분율;Zbrajanje, oduzimanje, množenje, dijeljenje i postoci;ບວກ, ລົບ, ຄູນ, ຫານ ແລະ ເປີເຊັນ;Saskaitīšana, atņemšana, reizināšana, dalīšana un procenti;Sudėtis, atimtis, daugyba, dalyba ir procentai;Собирање, одземање, множење, делење и проценти;Tambah, tolak, darab, bahagi dan peratus;കൂട്ടൽ, കുറയ്ക്കൽ, ഗുണനം, ഹരണം, ശതമാനങ്ങൾ;बेरीज, वजाबाकी, गुणाकार, भागाकार आणि टक्केवारी;Нэмэх, хасах, үржүүлэх, хуваах, хувь;जोड, घटाउ, गुणन, भाग र प्रतिशत;Addisjon, subtraksjon, multiplikasjon, divisjon og prosent;Додавання, віднімання, множення, ділення й відсотки;ଯୋଗ, ବିୟୋଗ, ଗୁଣ, ଭାଗ ଓ ଶତକଡ଼ା;قوشۇش، ئېلىش، كۆپەيتىش، بۆلۈش ۋە پىرسەنت;Qo‘shish, ayirish, ko‘paytirish, bo‘lish va foizlar;جمع، تفریق، ضرب، تقسیم و درصد;Dodawanie, odejmowanie, mnożenie, dzielenie i procenty;Adição, subtração, multiplicação, divisão e percentagens;ਜੋੜ, ਘਟਾਓ, ਗੁਣਾ, ਭਾਗ ਅਤੇ ਪ੍ਰਤੀਸ਼ਤ;Adunare, scădere, înmulțire, împărțire și procente;Сложение, вычитание, умножение, деление и проценты;Sabiranje, oduzimanje, množenje, deljenje i procenti;එකතු කිරීම, අඩු කිරීම, ගුණ කිරීම, බෙදීම සහ ප්‍රතිශත;Sčítanie, odčítanie, násobenie, delenie a percentá;Seštevanje, odštevanje, množenje, deljenje in odstotki;Sumas, restas, multiplicaciones, divisiones y porcentajes;Kujumlisha, kutoa, kuzidisha, kugawanya na asilimia;එකතු කිරීම, අඩු කිරීම, ගුණ කිරීම, බෙදීම සහ ප්‍රතිශත;கூட்டல், கழித்தல், பெருக்கல், வகுத்தல் மற்றும் சதவீதங்கள்;บวก ลบ คูณ หาร และเปอร์เซ็นต์;སྣོན་རྩིས། འཐེན་རྩིས། སྒྱུར་རྩིས། བགོ་རྩིས་དང་བརྒྱ་ཆ།;Sčítání, odčítání, násobení, dělení a procenta;Toplama, çıkarma, çarpma, bölme ve yüzdeler;جمع، تفریق، ضرب، تقسیم اور فی صد;Cộng, trừ, nhân, chia và phần trăm;Adio, tynnu, lluosi, rhannu a chanrannau;Складанне, адніманне, множанне, дзяленне і працэнты;Ukuhlanganisa, ukususa, ukuphindaphinda, ukuhlukanisa namaphesenti;Addition, subtraktion, multiplikation, division och procent
